id,rank,name,nat,age,birth,turned_pro,weight,height,plays,aces,double_faults,f_serve,f_serve_won,s_serve_won,break_faced,break_saved,serve_played,serve_won,serve_points_won,re_f_serve_won,re_s_serve_won,break_opp,break_conv,re_games_played,re_games_won,re_points_won,total_points_won,prize,prize_year,score,score_year,coach,place_birth,residence
27,28,DenisShapovalov,CAN,19.0,1999.04.15,2017.0,75.0,183.0,"Left-Handed,One-Handed",542.0,357.0,57.0,76.0,53.0,426.0,65.0,892.0,83.0,66.0,26.0,47.0,430.0,37.0,884.0,18.0,34.0,50.0,1953690,1088938.0,39-35,25-20,"MartinLaurendeau,TessaShapovalova","TelAviv,Israel","Nassau,Bahamas"
28,29,AdrianMannarino,FRA,30.0,1988.06.29,2004.0,70.0,180.0,"Left-Handed,Two-Handed",1524.0,903.0,61.0,69.0,50.0,2517.0,59.0,4143.0,75.0,62.0,28.0,50.0,2231.0,42.0,4166.0,23.0,37.0,49.0,5675094,862976.0,157-185,21-22,Jean-ChristopheFaurel,"Soisy-sous-Montmorency,France","Valletta,Malta"
29,30,NickKyrgios,AUS,23.0,1995.04.27,2013.0,85.0,193.0,"Right-Handed,Two-Handed",2643.0,664.0,65.0,77.0,53.0,882.0,66.0,2486.0,88.0,69.0,25.0,47.0,1077.0,39.0,2458.0,17.0,33.0,51.0,6389404,819442.0,127-72,21-10,,"Canberra,Australia","Canberra,AUS/Nassau,BAH"
30,31,SteveJohnson,USA,28.0,1989.12.24,2012.0,86.0,188.0,"Right-Handed,Two-Handed",2372.0,851.0,59.0,75.0,53.0,1642.0,67.0,3491.0,85.0,66.0,26.0,46.0,1625.0,36.0,3458.0,17.0,34.0,50.0,5146107,782428.0,148-134,26-18,CraigBoynton,"Orange,CA,USA","RedondoBeach,CA,USA"
31,32,FernandoVerdasco,ESP,34.0,1983.11.15,2001.0,90.0,188.0,"Left-Handed,Two-Handed",4676.0,3489.0,67.0,71.0,51.0,5745.0,62.0,11032.0,80.0,64.0,31.0,51.0,6556.0,41.0,11062.0,24.0,38.0,51.0,15712063,1047565.0,509-383,22-22,NachoTruyol,"Madrid,Spain","Doha,Qatar"
32,33,FilipKrajinovic,SRB,26.0,1992.02.27,2008.0,75.0,185.0,"Right-Handed,Two-Handed",291.0,145.0,63.0,67.0,50.0,464.0,56.0,760.0,73.0,61.0,28.0,49.0,406.0,40.0,770.0,21.0,36.0,49.0,1888145,492987.0,31-42,10-10,PetarPopovic,"Sombor,Serbia","MonteCarlo,Monaco"
33,34,PhilippKohlschreiber,GER,34.0,1983.10.16,2001.0,70.0,178.0,"Right-Handed,One-Handed",4226.0,1606.0,60.0,72.0,54.0,4490.0,63.0,9081.0,82.0,65.0,29.0,50.0,5078.0,41.0,9166.0,22.0,37.0,51.0,11670021,877118.0,441-342,18-20,LarsUebel,"Augsburg,Germany","Kitzbuhel,Austria"
34,35,SamQuerrey,USA,30.0,1987.10.07,2006.0,95.0,198.0,"Right-Handed,Two-Handed",7357.0,1966.0,59.0,79.0,51.0,3210.0,63.0,7777.0,85.0,67.0,27.0,47.0,3640.0,38.0,7668.0,18.0,35.0,51.0,10927118,792116.0,339-274,18-17,CraigBoynton,"SanFrancisco,CA,USA","LasVegas,NV,USA"
35,36,DaniilMedvedev,RUS,22.0,1996.02.11,2014.0,82.0,198.0,"Right-Handed,Two-Handed",682.0,375.0,59.0,72.0,50.0,712.0,62.0,1222.0,78.0,63.0,28.0,50.0,743.0,37.0,1231.0,22.0,37.0,50.0,1768242,821147.0,55-48,26-17,GillesCervara,"Moscow,Russia","MonteCarlo,Monaco"
36,37,NikolozBasilashvili,GEO,26.0,1992.02.23,2008.0,79.0,185.0,"Right-Handed,Two-Handed",342.0,452.0,63.0,66.0,49.0,903.0,57.0,1360.0,71.0,59.0,29.0,49.0,778.0,37.0,1352.0,21.0,37.0,48.0,2333516,885602.0,54-68,17-22,JanDeWitt,"Tbilisi,Georgia","Tbilisi,Georgia"
