id,rank,name,nat,age,birth,turned_pro,weight,height,plays,aces,double_faults,f_serve,f_serve_won,s_serve_won,break_faced,break_saved,serve_played,serve_won,serve_points_won,re_f_serve_won,re_s_serve_won,break_opp,break_conv,re_games_played,re_games_won,re_points_won,total_points_won,prize,prize_year,score,score_year,coach,place_birth,residence
639,640,HadyHabib,LIB,20.0,1998.08.21,,85.0,188.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,11138,6035.0,3-1,2-0,"VictorPinones,Giamalvatennisacademy","Houston,TX,USA",Texas
640,641,PatrikNema,SVK,20.0,1997.10.25,,90.0,191.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,23071,3906.0,0-0,0-0,,"ZlatéMoravce,Slovakia","ZlatéMoravce,Slovakia"
641,642,MichaelLook,AUS,30.0,1987.11.24,,,,,,,,,,,,,,,,,,,,,,,58501,6890.0,0-0,0-0,,,
642,643,FelipeMantilla,COL,25.0,1993.05.10,,83.0,185.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,73256,4648.0,0-0,0-0,,"Chattahoochee,GA,USA",UnitedStates
643,644,JoaoPedroSorgi,BRA,24.0,1993.10.18,,82.0,188.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,105837,5409.0,1-2,1-2,CristianKordasz,Sertaozinho,"Sertaozinho,SP"
644,645,FelipeMeligeniRodriguesAlves,BRA,20.0,1998.02.19,,75.0,,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,19030,5575.0,0-0,0-0,,"Campinas,Brazil",SãoJosédosCampos
645,646,DenisKlok,RUS,20.0,1998.05.26,,82.0,180.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,17930,7054.0,0-0,0-0,VeronikaFedorova,Evpatoria,Moscow
646,647,PavelKrainik,CAN,25.0,1992.09.28,,,,"Right-Handed,Unknown",,,,,,,,,,,,,,,,,,,64708,7902.0,0-0,0-0,,"Volgodonsk,Russia","Toronto,Canada"
647,648,SamBarry,IRL,26.0,1992.01.27,2011.0,83.0,191.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,121012,2825.0,2-7,0-0,,"Limerick,Ireland","Limerick,Ireland"
648,649,ColinVanBeem,NED,26.0,1992.04.28,,,,,,,,,,,,,,,,,,,,,,,40320,2379.0,0-0,0-0,,,
649,650,KaitoUesugi,JPN,23.0,1995.06.02,,70.0,180.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,23682,8006.0,0-0,0-0,,"Sakai,Japan",
650,651,DominikBoehler,GER,22.0,1996.02.21,,,,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,23933,6021.0,0-0,0-0,,,
651,652,OmarSalman,BEL,22.0,1996.04.22,,74.0,180.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,37507,7210.0,0-0,0-0,ArnaudFontaine,WoluweSaintPierre,Bruxelles
652,653,ErgiKirkin,TUR,19.0,1999.01.27,,73.0,180.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,14544,7698.0,0-0,0-0,,"Ankara,Turkey","Ankara,Turkey"
653,654,JumpeiYamasaki,JPN,21.0,1997.07.02,,75.0,180.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,28141,7868.0,0-0,0-0,ShinichiTakemasa,"Saitama,Japan","Saitama,Japan"
654,655,DanAdded,FRA,19.0,1999.04.13,,72.0,183.0,"Right-Handed,Unknown",,,,,,,,,,,,,,,,,,,17938,5611.0,0-0,0-0,,"Strasbourg,France","Strasbourg,France"
655,656,FlorentDiep,FRA,26.0,1991.09.24,,80.0,191.0,"Right-Handed,Unknown",,,,,,,,,,,,,,,,,,,52256,10069.0,0-0,0-0,,"Vincennes,France","MonteCarlo,Monaco"
656,657,MarkoTepavac,SRB,24.0,1994.04.05,,90.0,193.0,"Right-Handed,Two-Handed",6.0,1.0,53.0,62.0,45.0,6.0,33.0,11.0,64.0,54.0,19.0,51.0,8.0,38.0,11.0,27.0,36.0,46.0,121778,5716.0,0-1,0-0,NikolaCIRIC,"Belgrade,Serbia","Belgrade,Serbia"
657,658,PascalBrunner,AUT,29.0,1989.06.11,,75.0,180.0,"Right-Handed,One-Handed",,,,,,,,,,,,,,,,,,,68780,3368.0,0-0,0-0,WernerEschauer,,"Neufeld,Austria"
658,659,MatteoMartineau,FRA,19.0,1999.01.16,,76.0,183.0,"Right-Handed,One-Handed",,,,,,,,,,,,,,,,,,,16854,8088.0,0-0,0-0,Tarikbenhabiles&amp;ThomasPaire,"Angers,France","LaMotteServolex,France"
659,660,XinGao,CHN,24.0,1994.05.12,,80.0,180.0,"Right-Handed,Two-Handed",6.0,5.0,49.0,70.0,52.0,8.0,50.0,14.0,71.0,61.0,27.0,51.0,6.0,50.0,15.0,20.0,38.0,49.0,101829,8407.0,0-1,0-0,,Tianjin,
660,661,PaulWoerner,GER,22.0,1996.08.23,,,,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,27419,6416.0,0-0,0-0,,,
661,662,AxelGeller,ARG,19.0,1999.04.01,,88.0,191.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,9773,8095.0,0-0,0-0,JuanMateus,Argentina,BuenosAires
662,663,DenysMolchanov,UKR,31.0,1987.05.16,,83.0,191.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,503812,2850.0,2-2,0-0,PeterMolchanov,"Chisinau,Moldova","Kiev,Ukraine"
663,664,MikaelTorpegaard,DEN,24.0,1994.05.08,,85.0,193.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,33945,4990.0,3-3,0-0,"TyTucker,JustinKronauge,DavidSchilling","Gentofte,Denmark",UnitedStates
664,665,N.SriramBalaji,IND,28.0,1990.03.18,,72.0,180.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,198916,6315.0,0-0,0-0,AlexanderWaskeTennisUniversity,"Coimbatore,India",India
665,666,DennisNevolo,USA,28.0,1989.12.22,,,,"Right-Handed,Unknown",,,,,,,,,,,,,,,,,,,82484,,0-0,0-0,,,
666,667,FlavioCipolla,ITA,34.0,1983.10.20,2003.0,74.0,173.0,"Right-Handed,One-Handed",82.0,365.0,69.0,59.0,45.0,964.0,55.0,1107.0,61.0,55.0,32.0,50.0,715.0,41.0,1125.0,26.0,39.0,47.0,1632873,4654.0,36-66,0-0,,"Rome,Italy","Rome,Italy"
667,668,StefanSeifert,GER,33.0,1985.02.28,,,,,,,,,,,,,,,,,,,,,,,89769,5770.0,0-0,0-0,,,Germany
668,669,NikRazborsek,SLO,24.0,1993.10.04,,70.0,173.0,"Left-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,37150,7761.0,1-2,1-0,,"Ljubljana,Slovenia","Litija,Slovenia"
669,670,AndreaVavassori,ITA,23.0,1995.05.05,,78.0,193.0,"Right-Handed,One-Handed",,,,,,,,,,,,,,,,,,,67158,2319.0,0-0,0-0,DavideVavassori,"Torino,Italy","Pinerolo,Italy"
670,671,YannickVandenbulcke,BEL,28.0,1990.07.18,,85.0,193.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,63717,4467.0,0-0,0-0,HenriJacquemin,"Antwerp,Belgium","Antwerp,Belgium"
671,672,FajingSun,CHN,21.0,1996.10.03,,75.0,178.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,80949,6646.0,0-0,0-0,,"ShanXi,China",
672,673,MauricioEchazu,PER,29.0,1989.01.21,,,,,,,,,,,,,,,,,,,,,,,109673,3705.0,15-16,0-1,,,
673,674,EnricoDallaValle,ITA,20.0,1998.03.21,,,,,,,,,,,,,,,,,,,,,,,25169,7670.0,0-0,0-0,,,
674,675,AdrianUngur,ROU,33.0,1985.01.22,2003.0,73.0,178.0,"Right-Handed,One-Handed",79.0,137.0,61.0,64.0,46.0,303.0,55.0,407.0,66.0,57.0,27.0,45.0,183.0,36.0,413.0,16.0,33.0,46.0,961320,258.0,18-40,1-0,FabrizioFanucci,"Pitesti,Romania","Bucharest,Romania"
675,676,YukiMochizuki,JPN,20.0,1997.11.23,,60.0,173.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,12484,5637.0,0-0,0-0,,"Osaka,Japan",
676,677,GianniMina,FRA,26.0,1992.02.09,,85.0,188.0,"Right-Handed,Two-Handed",13.0,9.0,57.0,69.0,48.0,29.0,55.0,49.0,73.0,60.0,28.0,47.0,24.0,25.0,50.0,12.0,35.0,47.0,155576,4881.0,1-4,0-0,"CyrilSaulnier,HoracioRearte","LesAbymes,Guadeloupe","Paris,France"
677,678,DujeKekez,CRO,25.0,1993.03.30,,,,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,57680,4682.0,0-0,0-0,,,
678,679,MiguelSemmler,ESP,21.0,1997.05.02,,64.0,180.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,50044,8660.0,0-0,0-0,OscarBurrieza,"Madrid,Spain",Madrid
679,680,BillyHarris,GBR,23.0,1995.01.25,,86.0,191.0,"Right-Handed,One-Handed",,,,,,,,,,,,,,,,,,,28741,6680.0,0-0,0-0,JoserraBlasco,Nottingham,IsleofMan
680,681,HugoVoljacques,FRA,25.0,1992.12.30,,72.0,180.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,34853,7905.0,0-0,0-0,,VillefrancheSurSaone,Annecy
681,682,MaximePauwels,BEL,20.0,1998.07.31,,,,,,,,,,,,,,,,,,,,,,,14203,4218.0,0-0,0-0,,,
682,683,AndreyKuznetsov,RUS,27.0,1991.02.22,2008.0,71.0,185.0,"Right-Handed,Two-Handed",854.0,494.0,58.0,71.0,50.0,1183.0,59.0,2054.0,76.0,62.0,29.0,50.0,1203.0,37.0,2096.0,21.0,37.0,49.0,2713269,548.0,77-97,0-0,JoseChecaCalvo,"Tula,Russia","Balashikha,Russia"
683,684,AxelMichon,FRA,27.0,1990.12.16,,,,,5.0,6.0,69.0,56.0,42.0,38.0,58.0,35.0,54.0,52.0,40.0,65.0,35.0,49.0,38.0,45.0,49.0,50.0,345421,3503.0,1-1,0-0,,,
684,685,OrRam-Harel,ISR,23.0,1995.02.01,,75.0,180.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,20807,6305.0,0-0,0-0,,Haifa,Israel
685,686,BoyWesterhof,NED,32.0,1985.10.24,2006.0,80.0,185.0,"Right-Handed,Unknown",1.0,2.0,48.0,56.0,30.0,9.0,44.0,8.0,38.0,42.0,21.0,61.0,4.0,25.0,8.0,13.0,38.0,40.0,258186,3944.0,0-1,0-0,MarcDuncker,"Assen,TheNetherlands","Amsterdam,TheNetherlands"
686,687,LiamCaruana,ITA,20.0,1998.01.22,,75.0,178.0,"Right-Handed,Two-Handed",7.0,1.0,51.0,78.0,53.0,4.0,50.0,12.0,83.0,65.0,21.0,37.0,5.0,20.0,12.0,8.0,28.0,47.0,29010,10228.0,0-1,0-1,MarianoMonachesi,"Rome,Italy",USA
687,688,BogdanBorza,ROU,21.0,1997.04.05,,88.0,185.0,"Left-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,21843,4549.0,1-2,1-0,,Cugir,Bucuresti
688,689,BenjaminSigouin,CAN,19.0,1999.06.03,,73.0,193.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,30789,9095.0,0-0,0-0,,"Vancouver,BC,Canada","Vancouver,BC,Canada"
689,690,JonathanKanar,FRA,23.0,1994.09.19,,72.0,180.0,"Left-Handed,Unknown",,,,,,,,,,,,,,,,,,,43442,5377.0,0-0,0-0,,"Toulon,France",
690,691,TomislavJotovski,MKD,27.0,1990.10.27,,,,,,,,,,,,,,,,,,,,,,,60683,6306.0,0-3,0-0,,,
691,692,NikiKaliyandaPoonacha,IND,23.0,1995.04.27,,83.0,191.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,18549,5328.0,0-0,0-0,,"Neyveli,India","Neyveli,India"
692,693,PatrickKypson,USA,18.0,1999.10.28,,79.0,188.0,"Right-Handed,Two-Handed",4.0,3.0,59.0,55.0,46.0,11.0,45.0,14.0,57.0,51.0,21.0,51.0,8.0,38.0,15.0,20.0,33.0,42.0,67264,8515.0,0-1,0-0,JakeLester,"Durham,NC,USA","Raleigh,NC,USA"
693,694,AntonZaitcev,RUS,31.0,1987.07.22,,71.0,180.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,72188,4587.0,0-0,0-0,"KurbatovOleg,SolovyevaTatiana","Izmail,Ukraine","Moscow,Russia"
694,695,YuyaKibi,JPN,32.0,1986.07.23,,77.0,180.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,96863,3086.0,0-0,0-0,,"Osaka,Japan","Osaka,Japan"
695,696,JohanNikles,SUI,21.0,1997.03.23,,67.0,170.0,"Right-Handed,Two-Handed",1.0,5.0,55.0,61.0,41.0,11.0,64.0,9.0,56.0,52.0,17.0,35.0,3.0,0.0,8.0,0.0,26.0,41.0,38791,5714.0,0-1,0-0,AntonyDupuis,Geneva,Geneva
696,697,RomanKhassanov,KAZ,21.0,1996.09.07,,85.0,188.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,35005,4901.0,0-1,0-1,,"Shymkent,Kazakhstan","Astana,Kazakhstan"
697,698,LucasGomez,MEX,23.0,1995.08.11,,72.0,178.0,"Left-Handed,Two-Handed",2.0,12.0,63.0,56.0,31.0,32.0,31.0,39.0,44.0,47.0,9.0,47.0,8.0,25.0,40.0,5.0,27.0,37.0,100093,24558.0,1-11,0-2,MarcGorriz,"Tijuana,Mexico","Tijuana,Mexico"
698,699,AryanGoveas,IND,20.0,1998.07.09,,81.0,188.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,22680,5504.0,0-0,0-0,"AdityaMadkekar,KaifiAfzal",Mumbai,"Mumbai,India"
699,700,OlexiyKolisnyk,UKR,22.0,1996.04.30,,73.0,183.0,"Right-Handed,Unknown",,,,,,,,,,,,,,,,,,,30891,4999.0,0-0,0-0,,Dnepropetrovsk,Dnepropetrovsk
700,701,AlexisGalarneau,CAN,19.0,1999.03.02,,79.0,183.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,16029,9080.0,0-0,0-0,KyleSpencerandChrisJames,"Laval,Canada","Laval,Canada"
701,702,LukeBambridge,GBR,23.0,1995.01.21,,85.0,191.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,160672,1471.0,0-0,0-0,,"Nottingham,England","Nottingham,England"
702,703,JordiArconada,USA,21.0,1996.09.06,,70.0,180.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,11131,5514.0,0-0,0-0,,"BuenosAires,Argentina",UnitedStates
703,704,TomasPapik,CZE,24.0,1994.04.13,,81.0,185.0,,,,,,,,,,,,,,,,,,,,35809,932.0,0-0,0-0,,,
704,705,EvanHoyt,GBR,23.0,1995.01.16,,83.0,185.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,27198,5948.0,0-0,0-0,ChrisLewis,"Torreon,Mexico","Llanelli,UnitedKingdom"
705,706,AlexanderErler,AUT,20.0,1997.10.27,,,,,,,,,,,,,,,,,,,,,,,19356,4428.0,0-0,0-0,,,
706,707,MaciejRajski,POL,27.0,1991.05.03,,80.0,193.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,37784,7661.0,0-0,0-0,"AndrzejSikorski,KrystianPfeiffer","PiotrkówTrybunalski,Poland","PiotrkówTrybunalski,Poland"
707,708,MaciejSmola,POL,25.0,1993.03.24,,92.0,196.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,52773,6304.0,0-0,0-0,,TomaszowMazowiecki,Warszawa
708,709,VladyslavOrlov,UKR,23.0,1995.05.17,,77.0,185.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,22916,6642.0,0-0,0-0,ElenaIudina,Kharkiv,"Kharkiv,Ukraine"
709,710,DmitryTursunov,RUS,35.0,1982.12.12,2000.0,82.0,185.0,"Right-Handed,Two-Handed",3218.0,1690.0,57.0,73.0,50.0,3123.0,63.0,5606.0,79.0,63.0,27.0,49.0,2799.0,40.0,5517.0,20.0,36.0,50.0,5920125,,231-218,0-0,VitalyGorin,"Moscow,Russia","Moscow,Russia"
710,711,RuanRoelofse,RSA,28.0,1989.11.18,,98.0,188.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,146469,3030.0,2-5,0-0,EarlGrainger,"CapeTown,SouthAfrica","CapeTown,SouthAfrica"
711,712,Kuan-YiLee,TPE,21.0,1996.09.09,,69.0,178.0,"Right-Handed,Unknown",,,,,,,,,,,,,,,,,,,36704,5418.0,2-2,0-1,,Taipei,Taipei
712,713,QuentinRobert,FRA,24.0,1994.08.24,,,,,,,,,,,,,,,,,,,,,,,13828,4727.0,0-0,0-0,,,
713,714,SamRiffice,USA,19.0,1999.03.01,,77.0,188.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,14427,7199.0,0-0,0-0,,"Sacramento,CA,U.S.A.",UnitedStates
714,715,GeronimoEspinBusleiman,ARG,20.0,1997.12.02,,,,,,,,,,,,,,,,,,,,,,,12961,3641.0,0-0,0-0,,,
715,716,RobinStanek,CZE,23.0,1995.01.03,,75.0,188.0,"Left-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,64778,3975.0,0-0,0-0,,"Prague,CzechRepublic","Prague,CzechRepublic"
716,717,PaulJubb,GBR,18.0,1999.10.31,,,,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,4806,3822.0,0-0,0-0,,,
717,718,EdoardoEremin,ITA,24.0,1993.10.05,,95.0,185.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,90583,5677.0,0-0,0-0,GiorgioGalimberti,"AcquiTerme,Italy","Cassine,Italy"
718,719,AdelchiVirgili,ITA,28.0,1990.03.10,,,,,,,,,,,,,,,,,,,,,,,50565,2096.0,0-0,0-0,,,
719,720,MathieuPerchicot,FRA,26.0,1992.08.28,,85.0,185.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,8100,4156.0,0-0,0-0,Roxanebadie,Biarritz,Biarritz
720,721,HarrisonAdams,USA,24.0,1994.05.25,,73.0,183.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,18130,4773.0,0-0,0-0,SteveDenton,SanAntonio,
721,722,KarlFriberg,SWE,19.0,1999.03.25,,85.0,191.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,14041,4826.0,0-0,0-0,,"Orebro,Sweden",Stockholm
722,723,ChristopherDiaz-Figueroa,GUA,28.0,1990.03.14,,70.0,175.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,112066,4742.0,14-14,3-1,,Guatemala,GuatemalaCity
723,724,SantiagoFaRodriguezTaverna,ARG,19.0,1999.07.16,,82.0,191.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,22762,4310.0,0-0,0-0,MarianoHood,"BuenosAires,Argentina",Argentina
724,725,RyanJamesStorrie,GBR,20.0,1998.02.28,,,,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,19949,4813.0,0-0,0-0,,"Dorchester,England",
725,726,KennethRaisma,EST,20.0,1998.04.03,,82.0,193.0,"Left-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,19632,5495.0,1-2,0-2,AndresKuhi,"Tartu,Estonia","Tallinn,Estonia"
726,727,FrederikPress,GER,23.0,1995.04.04,,85.0,188.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,12679,4926.0,0-0,0-0,"Karl-HeinzWetter,AxelPretsch",Hamburg,Germany
727,728,KentoTakeuchi,JPN,30.0,1987.12.19,,,,,0.0,2.0,42.0,39.0,32.0,8.0,25.0,7.0,14.0,35.0,23.0,50.0,3.0,67.0,8.0,25.0,36.0,35.0,150881,5595.0,0-1,0-0,,,Japan
728,729,AnisGhorbel,TUN,29.0,1989.04.24,,,,,,,,,,,,,,,,,,,,,,,44980,4281.0,0-4,0-0,,,
729,730,NicolasAlmagro,ESP,33.0,1985.08.21,2003.0,86.0,183.0,"Right-Handed,One-Handed",5484.0,1663.0,58.0,75.0,53.0,3778.0,62.0,8214.0,83.0,66.0,29.0,50.0,4598.0,39.0,8170.0,22.0,37.0,51.0,10750283,7813.0,397-278,0-1,,"Murcia,Spain","Murcia,Spain"
730,731,OliverGolding,GBR,24.0,1993.09.29,2011.0,84.0,188.0,"Right-Handed,Two-Handed",31.0,30.0,65.0,75.0,39.0,21.0,67.0,42.0,83.0,63.0,21.0,43.0,10.0,40.0,41.0,10.0,28.0,47.0,99692,,0-3,0-0,,"Richmond,England","Richmond,England"
731,732,JulesMarie,FRA,27.0,1991.09.01,,76.0,185.0,"Right-Handed,Unknown",,,,,,,,,,,,,,,,,,,85694,4432.0,0-0,0-0,,France,France
732,733,YannikReuter,BEL,27.0,1991.03.06,,,,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,171613,1876.0,0-0,0-0,,,
733,734,DavidVegaHernandez,ESP,24.0,1994.06.23,,78.0,188.0,"Right-Handed,Two-Handed",1.0,1.0,66.0,52.0,41.0,7.0,43.0,7.0,43.0,48.0,23.0,33.0,0.0,0.0,8.0,0.0,27.0,38.0,103704,5547.0,0-1,0-0,ToniColom,"Telde,Spain","GranCanaria,Spain"
734,735,MaximeTabatruong,FRA,28.0,1989.09.24,,72.0,180.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,54034,3929.0,0-0,0-0,,,
735,736,JakubPaul,SUI,19.0,1999.03.22,,72.0,180.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,13852,7408.0,0-0,0-0,,"Chur,Switzerland","Chur,Switzerland"
736,737,TadeasParoulek,CZE,18.0,1999.12.30,,,,,,,,,,,,,,,,,,,,,,,9580,5675.0,0-0,0-0,,,
737,738,LukasOllert,GER,25.0,1992.11.25,,70.0,175.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,21310,5093.0,0-0,0-0,StefanLeiner,"Hamburg,Germany","Munich,Germany"
738,739,PetrNouza,CZE,19.0,1998.09.09,,86.0,193.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,15927,3554.0,0-0,0-0,,Prague,Prague
739,740,BogdanBobrov,RUS,20.0,1997.09.16,,74.0,185.0,"Right-Handed,One-Handed",,,,,,,,,,,,,,,,,,,22390,5115.0,0-0,0-0,"Schaller,Galic",Penza,Penza
740,741,GerardoLopezVillasenor,MEX,23.0,1995.05.12,,91.0,193.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,13607,5944.0,1-1,1-0,AgustinMoreno,"PuertoVallarta,Mexico","PuertoVallarta,Mexico"
741,742,TomKocevar-Desman,SLO,28.0,1990.07.10,,77.0,180.0,"Right-Handed,Unknown",,,,,,,,,,,,,,,,,,,49088,4603.0,1-5,0-1,GorazdGavrilov,"Ljubljana,Slovenia","Ljubljana,Slovenia"
742,743,JacobGrills,AUS,23.0,1995.06.18,,,,,,,,,,,,,,,,,,,,,,,51448,7963.0,0-0,0-0,,,
743,744,ManuelSanchez,MEX,27.0,1991.01.05,,76.0,183.0,"Right-Handed,One-Handed",10.0,12.0,47.0,67.0,45.0,18.0,56.0,21.0,62.0,56.0,30.0,36.0,11.0,27.0,22.0,14.0,32.0,44.0,114913,4996.0,7-4,2-0,MarcelaMontemayor,"SanLuisPotosi,Mexico","Guadalajara,Mexico"
744,745,PruchyaIsaro,THA,22.0,1995.10.16,,70.0,175.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,37475,4953.0,8-5,0-0,SoontonIsarow,"Songkhla,Thailand","Songkhla,Thailand"
745,746,JuniorA.Ore,USA,25.0,1992.09.08,,75.0,178.0,"Left-Handed,One-Handed",,,,,,,,,,,,,,,,,,,22850,4669.0,0-0,0-0,PabloArraya,Olney,"Miami,Florida,USA"
746,747,AlvaroLopezSanMartin,ESP,21.0,1997.06.02,,78.0,185.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,30222,4858.0,0-0,0-0,MiguelSanchez,"Barcelona,Spain","Barcelona,Spain"
747,748,RichardMuzaev,RUS,26.0,1992.03.21,,74.0,178.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,56358,4413.0,0-0,0-0,AlanMuzati,"Vladikavkaz,Russia","Moscow,Russia"
748,749,Seong-GookOh,KOR,26.0,1992.04.23,,80.0,191.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,9817,3402.0,0-0,0-0,,"Busan,Korea",
749,750,GavinVanPeperzeel,AUS,26.0,1992.03.29,,73.0,180.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,110853,1730.0,0-0,0-0,NationalAcademy&amp;GregSmith,"Nambour,Australia","BribieIsland,Queensland,AUS"
750,751,PhilippDavydenko,RUS,26.0,1992.09.02,,81.0,183.0,"Right-Handed,One-Handed",3.0,6.0,71.0,63.0,44.0,32.0,66.0,33.0,67.0,57.0,22.0,53.0,12.0,50.0,35.0,17.0,33.0,46.0,55401,4666.0,1-2,0-0,EduardDavydenko,"Volgograd,Russia","Bedburg,Germany"
751,752,DannyThomas,USA,18.0,1999.11.22,2017.0,79.0,183.0,"Left-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,24486,6121.0,0-0,0-0,MattGordon,"Tuscaloosa,AL,USA","WesleyChapel,FL,USA"
752,753,DragosNicolaeMadaras,SWE,20.0,1997.09.12,,85.0,191.0,"Left-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,23406,5175.0,0-0,0-0,,"Deva,Romania",Sweden
753,754,NicolasSantos,BRA,30.0,1988.01.05,,80.0,183.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,88306,2011.0,0-0,0-0,ElsonLongo,"Lucelia,Brazil",
754,755,AdamElMihdawy,USA,29.0,1989.08.09,,,,,,,,,,,,,,,,,,,,,,,144904,4694.0,0-0,0-0,,,
755,756,MaratDeviatiarov,UKR,24.0,1994.04.19,,78.0,191.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,55942,5687.0,1-0,0-0,,"Kharkov,Ukraine","Kharkov,Ukraine"
756,757,TigreHank,MEX,26.0,1991.09.30,,85.0,188.0,"Left-Handed,Unknown",12.0,7.0,63.0,61.0,49.0,27.0,56.0,34.0,65.0,57.0,17.0,40.0,10.0,30.0,33.0,9.0,26.0,43.0,100446,9414.0,1-8,0-0,,,
757,758,DiegoHidalgo,ECU,25.0,1993.04.18,,81.0,0.0,"Left-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,32430,5089.0,0-1,0-0,RaulViver-VictorCarceller,guayaquil,Barcelona
758,759,AlbertoRomeroDeAvilaSenise,ESP,20.0,1997.12.03,,63.0,173.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,28812,7531.0,0-0,0-0,LuisZapata,"Madrid,Spain","Madrid,Spain"
759,760,NicoloTurchetti,ITA,22.0,1996.05.29,,68.0,180.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,23946,5904.0,0-0,0-0,"MaurizioRiva,BarbaraRossi,MarioMinotti","Saronno,Italy","Saronno,Italy"
760,761,MichaelLinzer,AUT,28.0,1989.11.02,,77.0,180.0,"Right-Handed,Two-Handed",1.0,2.0,57.0,56.0,34.0,15.0,40.0,15.0,40.0,46.0,23.0,41.0,5.0,0.0,15.0,0.0,29.0,38.0,159549,,0-2,0-0,MarcoMirnegg,"Oberpullendorf,Austria","BadErlach,Austria"
